Sticker Name,Quality,Qty,Cost/Unit (AUD),Total Cost (AUD),Current Price (AUD),Total Value (AUD),Profit/Loss (AUD),ROI %,Steam Market Link
The Huns,Normal,1,0.35,0.35,0.03,0.03,-0.32,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20The%20Huns%20%7C%20Budapest%202025
The Mongolz,Normal,5,0.35,1.75,0.03,0.15,-1.60,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20The%20Mongolz%20%7C%20Budapest%202025
Tiger,Embroidered,1,0.35,0.35,0.06,0.06,-0.29,-82.9%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Tiger%20(Embroidered)%20%7C%20Budapest%202025
Tiger,Normal,6,0.35,2.10,0.04,0.24,-1.86,-88.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Tiger%20%7C%20Budapest%202025
torzsi,Embroidered,3,0.35,1.05,0.04,0.12,-0.93,-88.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20torzsi%20(Embroidered)%20%7C%20Budapest%202025
torzsi,Normal,8,0.35,2.80,0.03,0.24,-2.56,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20torzsi%20%7C%20Budapest%202025
TRY,Embroidered,3,0.35,1.05,0.05,0.15,-0.90,-85.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20TRY%20(Embroidered)%20%7C%20Budapest%202025
TRY,Normal,4,0.35,1.40,0.03,0.12,-1.28,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20TRY%20%7C%20Budapest%202025
TYLOO,Embroidered,1,0.35,0.35,0.17,0.17,-0.18,-51.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20TYLOO%20(Embroidered)%20%7C%20Budapest%202025
TYLOO,Normal,1,0.35,0.35,0.04,0.04,-0.31,-88.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20TYLOO%20%7C%20Budapest%202025
ultimate,Normal,7,0.35,2.45,0.03,0.21,-2.24,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20ultimate%20%7C%20Budapest%202025
venomzera,Embroidered,3,0.35,1.05,0.05,0.15,-0.90,-85.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20venomzera%20(Embroidered)%20%7C%20Budapest%202025
venomzera,Normal,7,0.35,2.45,0.03,0.21,-2.24,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20venomzera%20%7C%20Budapest%202025
vexite,Normal,3,0.35,1.05,0.03,0.09,-0.96,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20vexite%20%7C%20Budapest%202025
VINI,Normal,6,0.35,2.10,0.03,0.18,-1.92,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20VINI%20%7C%20Budapest%202025
Vitality,Embroidered,1,0.35,0.35,0.06,0.06,-0.29,-82.9%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Vitality%20(Embroidered)%20%7C%20Budapest%202025
Vitality,Normal,1,0.35,0.35,0.03,0.03,-0.32,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Vitality%20%7C%20Budapest%202025
w0nderful,Embroidered,3,0.35,1.05,0.05,0.15,-0.90,-85.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20w0nderful%20(Embroidered)%20%7C%20Budapest%202025
w0nderful,Normal,9,0.35,3.15,0.03,0.27,-2.88,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20w0nderful%20%7C%20Budapest%202025
westmelon,Embroidered,1,0.35,0.35,0.04,0.04,-0.31,-88.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20westmelon%20(Embroidered)%20%7C%20Budapest%202025
westmelon,Holo,1,0.35,0.35,1.00,1.00,0.65,185.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20westmelon%20(Holo)%20%7C%20Budapest%202025
westmelon,Normal,6,0.35,2.10,0.03,0.18,-1.92,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20westmelon%20%7C%20Budapest%202025
Wicadia,Embroidered,1,0.35,0.35,0.05,0.05,-0.30,-85.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Wicadia%20(Embroidered)%20%7C%20Budapest%202025
Wicadia,Normal,8,0.35,2.80,0.04,0.32,-2.48,-88.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Wicadia%20%7C%20Budapest%202025
woxic,Embroidered,2,0.35,0.70,0.05,0.10,-0.60,-85.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20woxic%20(Embroidered)%20%7C%20Budapest%202025
woxic,Holo,1,0.35,0.35,1.11,1.11,0.76,217.1%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20woxic%20(Holo)%20%7C%20Budapest%202025
