Sticker Name,Quality,Qty,Cost/Unit (AUD),Total Cost (AUD),Current Price (AUD),Total Value (AUD),Profit/Loss (AUD),ROI %,Steam Market Link
blameF,Embroidered,2,0.35,0.70,0.04,0.08,-0.62,-88.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20blameF%20(Embroidered)%20%7C%20Budapest%202025
blameF,Normal,5,0.35,1.75,0.03,0.15,-1.60,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20blameF%20%7C%20Budapest%202025
bLitz,Embroidered,4,0.35,1.40,0.03,0.12,-1.28,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20bLitz%20(Embroidered)%20%7C%20Budapest%202025
bLitz,Gold,1,0.35,0.35,1.27,1.27,0.92,262.9%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20bLitz%20(Gold)%20%7C%20Budapest%202025
bLitz,Normal,13,0.35,4.55,0.03,0.39,-4.16,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20bLitz%20%7C%20Budapest%202025
bodyy,Embroidered,1,0.35,0.35,0.04,0.04,-0.31,-88.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20bodyy%20(Embroidered)%20%7C%20Budapest%202025
bodyy,Normal,4,0.35,1.40,0.03,0.12,-1.28,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20bodyy%20%7C%20Budapest%202025
br0,Embroidered,1,0.35,0.35,0.05,0.05,-0.30,-85.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20br0%20(Embroidered)%20%7C%20Budapest%202025
br0,Normal,6,0.35,2.10,0.03,0.18,-1.92,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20br0%20%7C%20Budapest%202025
brnz4n,Normal,6,0.35,2.10,0.03,0.18,-1.92,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20brnz4n%20%7C%20Budapest%202025
broky,Holo,1,0.35,0.35,1.29,1.29,0.94,268.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20broky%20(Holo)%20%7C%20Budapest%202025
broky,Normal,3,0.35,1.05,0.03,0.09,-0.96,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20broky%20%7C%20Budapest%202025
Brollan,Embroidered,1,0.35,0.35,0.04,0.04,-0.31,-88.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Brollan%20(Embroidered)%20%7C%20Budapest%202025
Brollan,Normal,13,0.35,4.55,0.03,0.39,-4.16,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Brollan%20%7C%20Budapest%202025
C4LLM3SU3,Embroidered,1,0.35,0.35,0.26,0.26,-0.09,-25.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20C4LLM3SU3%20(Embroidered)%20%7C%20Budapest%202025
C4LLM3SU3,Gold,1,0.35,0.35,39.11,39.11,38.76,11074.3%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20C4LLM3SU3%20(Gold)%20%7C%20Budapest%202025
C4LLM3SU3,Holo,1,0.35,0.35,7.71,7.71,7.36,2102.9%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20C4LLM3SU3%20(Holo)%20%7C%20Budapest%202025
